FIPs,County name,% of total
36091,Saratoga County,17.2
36095,Schoharie County,18.9
36089,St. Lawrence County,25.6
36093,Schenectady County,24.7
36059,Nassau County,29.1
36061,New York County,21.4
36103,Suffolk County,32.2
36081,Queens County,28.0
36055,Monroe County,28.5
36029,Erie County,25.8
36033,Franklin County,21.8
36035,Fulton County,20.8
36119,Westchester County,28.5
36031,Essex County,19.9
36057,Montgomery County,28.0
36111,Ulster County,30.3
36007,Broome County,28.5
36043,Herkimer County,13.7
36069,Ontario County,21.2
36005,Bronx County,33.1
36047,Kings County,29.0
36101,Steuben County,17.0
36085,Richmond County,29.2
36027,Dutchess County,28.9
36077,Otsego County,27.7
36039,Greene County,30.4
36045,Jefferson County,18.5
36071,Orange County,29.1
36113,Warren County,23.7
36009,Cattaraugus County,21.7
36087,Rockland County,34.9
36049,Lewis County,26.6
36063,Niagara County,22.1
36065,Oneida County,23.9
36067,Onondaga County,25.2
36041,Hamilton County,19.9
36115,Washington County,22.4
36097,Schuyler County,22.0
36105,Sullivan County,21.6
36037,Genesee County,21.1
36053,Madison County,17.4
36109,Tompkins County,33.1
36019,Clinton County,22.2
36099,Seneca County,19.5
36015,Chemung County,24.7
36117,Wayne County,18.7
36001,Albany County,24.5
36051,Livingston County,30.9
36013,Chautauqua County,28.0
36107,Tioga County,19.0
36083,Rensselaer County,20.5
36011,Cayuga County,21.9
36073,Orleans County,18.4
36079,Putnam County,27.0
36021,Columbia County,22.5
36023,Cortland County,23.3
36025,Delaware County,23.3
36017,Chenango County,21.3
36075,Oswego County,26.9
36003,Allegany County,19.4
36121,Wyoming County,15.4
36123,Yates County,30.5
