id,Geographic Area Name,% over 50 percent
36061003700,37,16.1
36061008601,86.01,20.4
36061004400,44,17.7
36061008603,86.03,27.7
36061008602,86.02,0
36081013800,138,30.7
36081014300,143,23.9
36081015900,159,35.4
36081016800,168,33
36081016900,169,22.2
36081017100,171,0
36081018401,184.01,13.7
36061016500,165,12.6
36061027900,279,28.2
36061011203,112.03,30.5
36061018400,184,25.2
36005042902,429.02,46.9
36005033000,330,33.3
36005035800,358,34.4
36005037100,371,24.8
36005038500,385,43
36005042100,421,28.9
36005045101,451.01,11.9
36005011800,118,10.2
36005020400,204,29.5
36005024800,248,19.9
36005040800,408,45.8
36005048400,484,22.1
36005024700,247,17.2
36005026602,266.02,30.7
36005036400,364,25.9
36005044902,449.02,21.8
36005022300,223,43.2
36005025400,254,32.7
36005029600,296,20.5
36005037600,376,32
36005002701,27.01,19.3
36005006500,65,30
36005015700,157,32.2
36005000100,1,0
36005006700,67,36.4
36005040702,407.02,27.2
36005038000,380,55.3
36005002500,25,27.8
36005006100,61,28.4
36005022701,227.01,37.1
36047029500,295,31.8
36047030700,307,27
36047030900,309,29.7
36047031702,317.02,19.9
36047032700,327,27.6
36047033600,336,22.7
36047034000,340,23.3
36047034300,343,19.6
36047038800,388,35.3
36047039500,395,25.4
36047039900,399,32.9
36047040200,402,41.7
36047040900,409,33.4
36047041600,416,33.3
36047040000,400,34.9
36047042300,423,23.6
36047042400,424,18.3
36047044200,442,33.7
36047045200,452,49.5
36047046202,462.02,44.1
36047047800,478,28.9
36047048000,480,38
36047048100,481,19.9
36047050600,506,35.8
36047051700,517,20.5
36047051800,518,34.2
36047052000,520,32.4
36047053200,532,32.8
36047054600,546,38.9
36047014200,142,29.5
36047043700,437,35.6
36047043900,439,40.5
36047044100,441,33.3
36047044400,444,27.5
36047045400,454,35.6
36047046201,462.01,33.2
36047046400,464,47.4
36047050000,500,12.7
36047077200,772,16.8
36047075600,756,11.8
36047072200,722,28.6
36047073400,734,21.9
36047074400,744,7.4
36047078600,786,25.2
36047082400,824,35.4
36047083800,838,26.6
36061003601,36.01,19
36061004500,45,5.8
36061005502,55.02,10.1
36061005600,56,20.8
36061006200,62,22
36061007700,77,18.3
36061008000,80,28.9
36061009000,90,18.5
36047065000,650,16.5
36047058800,588,19.4
36047059300,593,21.3
36047064000,640,50
36047068800,688,19.1
36047075200,752,19.2
36047076400,764,34.9
36047077400,774,20.6
36047078200,782,16.1
36047079000,790,31
36047079200,792,27.3
36047079400,794,19.7
36047083600,836,56.3
36047085800,858,29.6
36047086200,862,46.7
36047088000,880,28.9
36047093800,938,23.7
36047089800,898,45.7
36047091800,918,35.1
36047092000,920,62.3
36047098200,982,24
36047094401,944.01,24
36047096600,966,25.8
36047100800,1008,41.1
36047116400,1164,29.7
36047116800,1168,43.1
36047118202,1182.02,30.9
36047119000,1190,43.5
36047119600,1196,40.2
36047120200,1202,42.5
36047039700,397,35.7
36047039800,398,33.8
36047040500,405,30.3
36047040700,407,0
36047041000,410,35.3
36047042600,426,29.6
36047016900,169,21.8
36047036400,364,27.6
36047037300,373,24.6
36047008000,80,27
36047008800,88,15.3
36047009200,92,40.3
36047009800,98,35.6
36047010100,101,26.1
36047012801,128.01,38.2
36047013100,131,13.8
