,GEO_ID,MEDIAN_HOUSEHOLD_INCOME_2010,MEDIAN_RENT_2010,GROSS_RENT_MEDIAN_INCOME_PERCENTAGE_2010,state,county,tract
0,36005039000,35729,539,63,36,005,039000
1,36005039100,22081,1853,145,36,005,039100
2,36005039200,57000,440,34,36,005,039200
3,36005039300,17988,3029,355,36,005,039300
4,36005039400,35329,1291,263,36,005,039400
5,36005039500,27384,950,29,36,005,039500
6,36005039600,41938,710,57,36,005,039600
7,36005039700,17579,495,41,36,005,039700
8,36005039800,57188,470,43,36,005,039800
9,36005039901,21418,1615,99,36,005,039901
10,36005039902,24095,1532,105,36,005,039902
11,36005040100,33950,1355,51,36,005,040100
12,36005040302,19324,1280,105,36,005,040302
13,36005040303,25625,1400,94,36,005,040303
14,36005040304,32586,1063,60,36,005,040304
15,36005040400,48065,321,34,36,005,040400
16,36005040501,29775,1206,101,36,005,040501
17,36005040502,24441,1695,57,36,005,040502
18,36005040600,37045,703,13,36,005,040600
19,36005040701,24836,1119,27,36,005,040701
20,36005040702,29826,1893,213,36,005,040702
21,36005040800,32175,1201,134,36,005,040800
22,36005040900,50313,1092,143,36,005,040900
23,36005041100,39623,922,70,36,005,041100
24,36005041300,40862,2751,354,36,005,041300
25,36005041400,48966,888,141,36,005,041400
26,36005041500,30594,1787,211,36,005,041500
27,36005041800,42703,916,46,36,005,041800
28,36005041900,33426,2244,147,36,005,041900
29,36005042000,51193,1069,77,36,005,042000
30,36005042100,35659,2173,294,36,005,042100
31,36005042200,49052,631,75,36,005,042200
32,36005042300,37730,1212,142,36,005,042300
33,36005042400,65952,305,28,36,005,042400
34,36005042500,31381,1866,180,36,005,042500
35,36005042600,68026,479,34,36,005,042600
36,36005042800,70313,227,23,36,005,042800
37,36005042901,27324,1087,60,36,005,042901
38,36005042902,29347,1148,65,36,005,042902
39,36005043000,48990,311,31,36,005,043000
40,36005043100,32027,2798,257,36,005,043100
41,36005043400,44180,1048,73,36,005,043400
42,36005043500,17604,20,0,36,005,043500
43,36005043600,51000,380,26,36,005,043600
44,36005044200,38900,754,112,36,005,044200
45,36005044400,58534,632,67,36,005,044400
46,36005044800,76190,156,0,36,005,044800
47,36005044901,63346,416,77,36,005,044901
48,36005044902,55938,617,83,36,005,044902
49,36005045101,52988,659,191,36,005,045101
50,36005045102,72188,405,52,36,005,045102
51,36005045600,64688,397,45,36,005,045600
52,36005045800,26343,2180,422,36,005,045800
53,36005046000,34273,686,77,36,005,046000
54,36005046201,48005,4734,703,36,005,046201
55,36005046202,36155,1547,123,36,005,046202
56,36005048400,55577,428,26,36,005,048400
57,36005050400,-666666666,0,0,36,005,050400
58,36005051600,64701,770,64,36,005,051600
59,36005000100,-666666666,0,0,36,005,000100
60,36005000200,59826,482,30,36,005,000200
61,36005000400,71968,560,60,36,005,000400
62,36005001600,30355,1494,94,36,005,001600
63,36005001900,25093,568,46,36,005,001900
64,36005002000,24939,2602,268,36,005,002000
65,36005002300,13756,1951,169,36,005,002300
66,36005002400,-666666666,0,0,36,005,002400
67,36005002500,15207,1635,180,36,005,002500
