,GEO_ID,NAME,county,state,tract,medium_income_2010,medium_income_2011,medium_income_2012,medium_income_2013,medium_income_2014,medium_income_2015,medium_income_2016,medium_income_2017,medium_income_2018
0,36005039000,"Census Tract 390, Bronx County, New York",005,36,039000,35729,34010,34750,35037,34531,32364,32438,35313,42011
1,36005039100,"Census Tract 391, Bronx County, New York",005,36,039100,22081,23804,24010,24193,24043,30661,31238,33020,32298
2,36005039200,"Census Tract 392, Bronx County, New York",005,36,039200,57000,30577,31917,32386,35515,39457,40054,40282,44375
3,36005039300,"Census Tract 393, Bronx County, New York",005,36,039300,17988,16825,15875,16949,19025,20891,21587,21651,21370
4,36005039400,"Census Tract 394, Bronx County, New York",005,36,039400,35329,34759,38365,39157,34348,33708,34517,31738,34355
5,36005039500,"Census Tract 395, Bronx County, New York",005,36,039500,27384,27319,29800,26250,23529,25702,24328,23860,26373
6,36005039600,"Census Tract 396, Bronx County, New York",005,36,039600,41938,35568,34102,28103,24909,35221,38136,39821,44145
7,36005039700,"Census Tract 397, Bronx County, New York",005,36,039700,17579,19229,18988,19015,18945,21228,21549,27440,30300
8,36005039800,"Census Tract 398, Bronx County, New York",005,36,039800,57188,61102,58224,58892,70230,70552,61484,75962,77825
9,36005039901,"Census Tract 399.01, Bronx County, New York",005,36,039901,21418,26190,25330,26509,24936,22747,25903,25362,25637
10,36005039902,"Census Tract 399.02, Bronx County, New York",005,36,039902,24095,20697,20924,27375,24852,24799,33229,33142,33075
11,36005040100,"Census Tract 401, Bronx County, New York",005,36,040100,33950,33250,36145,36786,36220,33487,29394,31208,34934
12,36005040302,"Census Tract 403.02, Bronx County, New York",005,36,040302,19324,18610,20268,20492,22318,25724,27156,28152,29315
13,36005040303,"Census Tract 403.03, Bronx County, New York",005,36,040303,25625,25417,30903,35889,37045,40731,40838,38199,37330
14,36005040304,"Census Tract 403.04, Bronx County, New York",005,36,040304,32586,39816,47063,37000,36481,34643,30923,22750,24004
15,36005040400,"Census Tract 404, Bronx County, New York",005,36,040400,48065,41250,40254,40793,35329,36691,45381,49306,67273
16,36005040501,"Census Tract 405.01, Bronx County, New York",005,36,040501,29775,28634,29621,29293,29647,34009,35436,35464,37165
17,36005040502,"Census Tract 405.02, Bronx County, New York",005,36,040502,24441,23548,19786,19358,22626,23583,23142,28750,37586
18,36005040600,"Census Tract 406, Bronx County, New York",005,36,040600,37045,37885,32038,40039,28966,44773,48194,48267,45391
19,36005040701,"Census Tract 407.01, Bronx County, New York",005,36,040701,24836,23662,31136,29479,31045,30354,36607,35785,34007
20,36005040702,"Census Tract 407.02, Bronx County, New York",005,36,040702,29826,29980,28731,27290,27951,29978,29946,33419,36462
21,36005040800,"Census Tract 408, Bronx County, New York",005,36,040800,32175,33721,35549,31687,30428,32244,33875,32262,31685
22,36005040900,"Census Tract 409, Bronx County, New York",005,36,040900,50313,53795,57778,49614,50669,46278,46447,46127,49301
23,36005041100,"Census Tract 411, Bronx County, New York",005,36,041100,39623,41336,44569,31371,32127,41047,40238,36681,39405
24,36005041300,"Census Tract 413, Bronx County, New York",005,36,041300,40862,35946,37064,33033,37719,38796,41750,46627,48843
25,36005041400,"Census Tract 414, Bronx County, New York",005,36,041400,48966,51083,51223,52577,54583,53750,53809,51434,52232
26,36005041500,"Census Tract 415, Bronx County, New York",005,36,041500,30594,29974,41402,35086,33890,42207,49741,50440,47000
27,36005041800,"Census Tract 418, Bronx County, New York",005,36,041800,42703,42875,42946,38165,38178,37829,37991,40208,40325
28,36005041900,"Census Tract 419, Bronx County, New York",005,36,041900,33426,31801,36538,36344,37143,45127,37355,33759,32632
29,36005042000,"Census Tract 420, Bronx County, New York",005,36,042000,51193,38958,40462,29886,24670,28125,38375,31417,37545
30,36005042100,"Census Tract 421, Bronx County, New York",005,36,042100,35659,50833,52475,50816,39231,36768,31265,31969,34827
31,36005042200,"Census Tract 422, Bronx County, New York",005,36,042200,49052,47861,50994,51312,52656,51701,50302,54698,46641
32,36005042300,"Census Tract 423, Bronx County, New York",005,36,042300,37730,38875,38776,33700,40151,31786,33194,35288,37461
