GeoId,tractsId,Families Median income 
36005000100,1,-
36005000200,2,66488
36005000400,4,90118
36005001600,16,40577
36005001900,19,41447
36005002000,20,30690
36005002300,23,24556
36005002400,24,-
36005002500,25,35944
36005002701,27.01,24185
36005002702,27.02,18306
36005002800,28,57026
36005003100,31,46964
36005003300,33,20122
36005003500,35,36793
36005003700,37,47188
36005003800,38,51932
36005003900,39,41090
36005004001,40.01,68438
36005004100,41,21274
36005004200,42,41946
36005004300,43,26788
36005004400,44,27553
36005004600,46,27841
36005004800,48,37500
36005005001,50.01,26867
36005005002,50.02,31595
36005005100,51,17261
36005005200,52,36354
36005005300,53,18179
36005005400,54,38813
36005005600,56,34625
36005005902,59.02,29507
36005006000,60,33438
36005006100,61,52860
36005006200,62,28444
36005006300,63,38594
36005006400,64,39356
36005006500,65,25203
36005006700,67,23868
36005006800,68,48182
36005006900,69,38628
36005007000,70,41078
36005007100,71,51118
36005007200,72,43566
36005007300,73,27096
36005007400,74,58424
36005007500,75,42396
36005007600,76,42885
36005007700,77,47404
36005007800,78,42778
36005007900,79,30410
36005008300,83,38125
36005008400,84,84657
36005008500,85,32013
36005008600,86,30181
36005008700,87,33411
36005008900,89,37875
36005009000,90,30671
36005009200,92,50221
36005009300,93,32100
36005009600,96,57500
36005009800,98,75417
36005011000,110,-
36005011502,115.02,31304
36005011700,117,23053
36005011800,118,100909
36005011900,119,34727
36005012101,121.01,39643
36005012102,121.02,22917
36005012300,123,38346
36005012500,125,31086
36005012701,127.01,22083
36005012901,129.01,27197
36005013000,130,97313
36005013100,131,40169
36005013200,132,130552
36005013300,133,36250
36005013500,135,37808
36005013800,138,84099
36005014100,141,34024
36005014300,143,39013
36005014400,144,27400
36005014500,145,28068
36005014701,147.01,14927
36005014702,147.02,27065
36005014900,149,40905
36005015100,151,36630
36005015200,152,74375
36005015300,153,32606
36005015500,155,22500
36005015700,157,37300
36005015800,158,69583
36005015900,159,20625
36005016000,160,77333
36005016100,161,18750
36005016200,162,92333
36005016300,163,-
36005016400,164,84063
36005016500,165,26771
36005016600,166,83272
36005016700,167,31982
36005016900,169,33795
36005017100,171,-
36005017300,173,24840
36005017500,175,29287
36005017701,177.01,33750
36005017702,177.02,46220
36005017901,179.01,38295
36005017902,179.02,31488
36005018101,181.01,29292
36005018102,181.02,34153
36005018301,183.01,57708
36005018302,183.02,41864
36005018400,184,85500
36005018500,185,37184
36005018900,189,29798
36005019300,193,27951
36005019400,194,57545
36005019500,195,31690
36005019700,197,36013
36005019900,199,38048
