,NAME,GEO_ID,MEDIAN_HOUSEHOLD_INCOME_2010,MEDIAN_RENT_2010,state,county,tract
0,"Census Tract 390, Bronx County, New York",36005039000,35729,539,36,005,039000
1,"Census Tract 391, Bronx County, New York",36005039100,22081,1853,36,005,039100
2,"Census Tract 392, Bronx County, New York",36005039200,57000,440,36,005,039200
3,"Census Tract 393, Bronx County, New York",36005039300,17988,3029,36,005,039300
4,"Census Tract 394, Bronx County, New York",36005039400,35329,1291,36,005,039400
5,"Census Tract 395, Bronx County, New York",36005039500,27384,950,36,005,039500
6,"Census Tract 396, Bronx County, New York",36005039600,41938,710,36,005,039600
7,"Census Tract 397, Bronx County, New York",36005039700,17579,495,36,005,039700
8,"Census Tract 398, Bronx County, New York",36005039800,57188,470,36,005,039800
9,"Census Tract 399.01, Bronx County, New York",36005039901,21418,1615,36,005,039901
10,"Census Tract 399.02, Bronx County, New York",36005039902,24095,1532,36,005,039902
11,"Census Tract 401, Bronx County, New York",36005040100,33950,1355,36,005,040100
12,"Census Tract 403.02, Bronx County, New York",36005040302,19324,1280,36,005,040302
13,"Census Tract 403.03, Bronx County, New York",36005040303,25625,1400,36,005,040303
14,"Census Tract 403.04, Bronx County, New York",36005040304,32586,1063,36,005,040304
15,"Census Tract 404, Bronx County, New York",36005040400,48065,321,36,005,040400
16,"Census Tract 405.01, Bronx County, New York",36005040501,29775,1206,36,005,040501
17,"Census Tract 405.02, Bronx County, New York",36005040502,24441,1695,36,005,040502
18,"Census Tract 406, Bronx County, New York",36005040600,37045,703,36,005,040600
19,"Census Tract 407.01, Bronx County, New York",36005040701,24836,1119,36,005,040701
20,"Census Tract 407.02, Bronx County, New York",36005040702,29826,1893,36,005,040702
21,"Census Tract 408, Bronx County, New York",36005040800,32175,1201,36,005,040800
22,"Census Tract 409, Bronx County, New York",36005040900,50313,1092,36,005,040900
23,"Census Tract 411, Bronx County, New York",36005041100,39623,922,36,005,041100
24,"Census Tract 413, Bronx County, New York",36005041300,40862,2751,36,005,041300
25,"Census Tract 414, Bronx County, New York",36005041400,48966,888,36,005,041400
